page_id,page_name,url,keywords,user_questions,page_type,fact_sources,material_sufficiency,priority,first_release,decision_note
P01,Home,/,"active matter; active matter game; activematter","What is Active Matter? Is it released?","Homepage","Official site; Steam; launch announcement","Yes",P0,Yes,"Brand landing page with verified loop, modes, platforms and official trailer"
P02,Guides Hub,/guides/,"active matter guide; active matter game guide; active matter walkthrough","Where should a new player start?","Hub","Phase 4 verified guide taxonomy and all linked official sources","Yes",P0,Yes,"Navigation hub; descriptions link only to published pages"
P03,Beginner Guide,/guides/beginner-guide/,"active matter beginner guide; how can i play active matter; active matter how to play","What should I know before my first raid?","Guide","Official site; Steam; official FAQ; official gameplay trailer","Yes",P0,Yes,"Explain verified loop and preparation principles; no invented UI steps"
P04,How Raids Work,/guides/how-raids-work/,"active matter extraction; active matter collect and extract items","How do raids and extraction work?","Guide","Official site; Steam; official FAQ","Yes",P0,Yes,"Mechanics overview only; no extraction coordinates or timers"
P05,PvE Mode Guide,/guides/pve-mode/,"active matter pve; does active matter have a pve mode; active matter pve only mode","Can I play PvE only? Does PvE have a limit?","Guide","Official FAQ; launch announcement","Yes",P0,Yes,"Answer current supported modes with verification date"
P06,Raid Modes Explained,/guides/raid-modes/,"active matter optional pvp; active matter isolated raids; active matter pve or pvp","What is the difference between Open, Isolated, PvE and Nexus?","Guide","Official FAQ; Gigastructure update; official site","Yes",P0,Yes,"Version-label mode definitions"
P07,Solo and Co-op,/guides/solo-coop/,"active matter solo; active matter pve coop; active matter how many players in a raid","Can I play solo or with friends?","Guide","Official FAQ; Steam categories","Yes with scope limit",P1,Yes,"Do not state an exact squad cap until verified in the launch client"
P08,Crossplay and Account Linking,/guides/crossplay/,"active matter crossplay; active matter connect with steam","Does Active Matter support crossplay and cross-progression?","Guide","Official FAQ updated 2026-09-15","Yes",P0,Yes,"Use FAQ over conflicting generic purchase modal"
P09,Release Date and Platforms,/game-info/release-date-platforms/,"active matter release date; has active matter been released; active matter where to play; active matter xbox one","When did it release and which platforms support it?","Reference","Steam; official launch announcement; official FAQ","Yes",P0,Yes,"Clarify current-generation Xbox and PS5; no Xbox One claim"
P10,Editions and Price,/game-info/editions-price/,"active matter price; active matter cost; active matter steam price; active matter is it free","Is it free? What do the editions cost and include?","Buying guide","Steam; official launch announcement","Yes with dated price",P0,Yes,"Label US Steam price and verification date; avoid grey-market key links"
P11,System Requirements,/game-info/system-requirements/,"active matter system requirements; can my laptop run active matter; active matter can i run it","Can my PC or laptop run Active Matter?","Reference","Steam app details; official FAQ","Yes",P0,Yes,"Use official minimum/recommended specifications and anti-cheat note"
P12,Linux and Steam Deck,/game-info/linux-steam-deck/,"active matter on linux; active matter steam deck","Does Active Matter support Linux and Steam Deck?","Reference","Official FAQ; Steam platform flags","Yes with verification date",P1,Yes,"State developer support claim and date; avoid performance promises"
P13,Languages and Controls,/game-info/languages-controls/,"active matter languages; active matter controller support","Which languages and controllers are supported?","Reference","Steam app details; official FAQ","Yes",P2,Yes,"Table of seven Steam languages, four full-audio languages and controller support"
P14,FAQ,/faq/,"active matter faq; active matter demo; active matter beta; active matter steam key","Is there a demo or beta? Where can I buy it safely?","FAQ","Official FAQ; Steam; launch announcement","Yes",P1,Yes,"Consolidate short intents without creating thin pages"
P15,Maps Hub,/maps/,"active matter maps; active matter map guide; new active matter map","What maps and locations are in Active Matter?","Hub","Official locations overview; 250 Shades; Gigastructure update","Yes",P0,Yes,"No interactive-map claim; separate confirmed locations from route data"
P16,Dalniy Island Locations,/maps/dalniy-island/,"active matter dalniy island; active matter park; active matter shegolskoe; active matter dam; active matter headquarters","Which locations are on Dalniy Island?","Location guide","Official locations overview","Yes",P1,Yes,"Group thinner official location descriptions instead of five weak pages"
P17,Park Guide,/maps/park/,"active matter park map; active matter park","What is in Park and which threats are officially confirmed?","Location guide","Official locations overview; Gigastructure update","Yes",P0,Yes,"Use mapped Park sign and update art; no routes/spawns"
P18,Gigastructure Guide,/maps/gigastructure/,"active matter gigastructure; active matter gigastructure map","What is the Gigastructure?","Location guide","Official locations overview; Gigastructure update","Yes",P0,Yes,"Explain official setting and update context; no fabricated layout"
P19,Downtown Guide,/maps/downtown/,"active matter downtown; active matter downtown unstable; active matter collapse","What are Downtown, Unstable Zone and Collapse?","Location guide","250 Shades of Liberty; official locations overview","Yes",P1,Yes,"Treat screenshot as theme-level unless object mapping is confirmed"
